studyIDX,YOKE_TORCH_ENV,EMBED_DIM,B0,B1,B2,B3,NUM_WORKERS,PREFETCH_FACTOR,BATCH_SIZE,NTRN_BATCH,NVAL_BATCH,ANCHOR_LR,NUM_CYCLES,MIN_FRACTION,TERMINAL_STEPS,WARMUP_STEPS,train_script
# 1,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,1.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 2,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,1.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
3,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,1.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
# #
# 4,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,2.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 5,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,2.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
# 6,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,2.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
# #
# 7,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,3.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 8,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,3.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
# 9,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,3.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
# #
# 10,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,4.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 11,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,4.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
12,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,4.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
# #
# 13,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,5.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 14,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,5.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
# 15,torch_ve_gpu_241107,512,1,1,11,2,8,2,8,1000,500,5.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
# New batch-size
16,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,1.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 17,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,1.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
18,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,1.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
#
19,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,2.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 20,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,2.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
# 21,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,2.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
#
22,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,3.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
# 23,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,3.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
# 24,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,3.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
#
25,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,4.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
26,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,4.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
27,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,4.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
#
# 28,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,5.0e-4,0.5,0.7,1000,500,train_LodeRunner_stepLRsched.py
29,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,5.0e-4,0.5,0.6,1000,500,train_LodeRunner_stepLRsched.py
30,torch_ve_gpu_241107,512,1,1,11,2,8,2,16,1000,500,5.0e-4,0.5,0.5,1000,500,train_LodeRunner_stepLRsched.py
