studyIDX,YOKE_TORCH_ENV,KNODES,NGPUS,EMBED_DIM,B0,B1,B2,B3,NUM_WORKERS,BATCH_SIZE,NTRN_BATCH,NVAL_BATCH,ANCHOR_LR,NUM_CYCLES,MIN_FRACTION,TERMINAL_STEPS,WARMUP_STEPS,train_script
# Epoch with validation should take ~1hr15m
#
# This study tunes learning rate for single node DDP
1,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.1e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
2,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.2e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
3,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.3e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
4,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.4e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
5,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.5e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
6,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.6e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
7,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.7e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
8,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.8e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
9,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,0.9e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
10,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,1.0e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
11,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,1.1e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
12,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,1.2e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
13,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,1.3e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
14,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,1.4e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
15,torch_ve_gpu_241107,1,4,512,1,1,11,2,2,5,1000,500,1.5e-4,0.5,0.5,1000,500,train_LodeRunner_ddp.py
